帖子链接,帖子标题,时间,回复数量
https://www.douban.com/group/topic/252638692/,五年后迟来地明白，兴趣不一定是最好的导师，但不...,昨天16:17,1回应
https://www.douban.com/group/topic/252542846/,想回家发展但是大家都觉得这样太废物了,11-11,48回应
https://www.douban.com/group/topic/252522598/,985本入职银行客户经理该不该跑路,11-11,25回应
https://www.douban.com/group/topic/252480658/,应届生好奇工资问题,11-10,0回应
https://www.douban.com/group/topic/252470090/,刚刚，面试崩了,11-10,29回应
https://www.douban.com/group/topic/252457101/,马克思主义理论考公,11-10,11回应
https://www.douban.com/group/topic/252447885/,土木女还有出路吗,11-10,56回应
https://www.douban.com/group/topic/252412311/,【佛了】确实能力不够，找上门的工作机会都把握不住,11-10,8回应
https://www.douban.com/group/topic/252376313/,蹲有在省学生联合会部门工作过的朋友吗？,11-09,0回应
https://www.douban.com/group/topic/252374195/,985学生考公真的有优势吗？,11-09,31回应
https://www.douban.com/group/topic/252368564/,看完广东选调，和最后一丝应届考公的心思说再见,11-09,6回应
https://www.douban.com/group/topic/252308864/,真.真.真.FIVE,11-09,4回应
https://www.douban.com/group/topic/252285813/,一无是处，毕业季什么都没有,11-08,32回应
https://www.douban.com/group/topic/252256666/,退让了才发现push的父母永远不会满足,11-08,43回应
https://www.douban.com/group/topic/252186148/,我一个小镇做题家为什么要学商科,11-07,31回应
https://www.douban.com/group/topic/252041157/,我好爱爸爸！！,11-06,45回应
https://www.douban.com/group/topic/251842517/,看到同专业学长学姐考研考公的同时有名企实习和比...,11-04,1回应
https://www.douban.com/group/topic/251716991/,我们为什么要考研？,11-03,108回应
https://www.douban.com/group/topic/251680663/,应届：秋招+小论文小修+考公+大论文准备,11-02,6回应
https://www.douban.com/group/topic/251672801/,现在已经成了不上国内研究生和不考公就是loser的样...,11-02,3回应
https://www.douban.com/group/topic/251611403/,正在海外交流废物,11-02,7回应
https://www.douban.com/group/topic/251608258/,同班同学进选调面试了,11-02,12回应
https://www.douban.com/group/topic/251474318/,大三废物现在还能干啥,10-31,12回应
https://www.douban.com/group/topic/251440772/,当喜好和天赋冲突,10-31,15回应
https://www.douban.com/group/topic/251360309/,仿佛刚经历了一波毕业后最大的滑铁卢,10-30,2回应
https://www.douban.com/group/topic/251173085/,秋招不去想北上广深，机会好少,10-28,10回应
https://www.douban.com/group/topic/251133672/,统计还是宇宙机？（决定cs了,10-28,67回应
https://www.douban.com/group/topic/251125222/,虽然现在才十月份，但是因为在家备考已经开始害怕...,10-28,22回应
https://www.douban.com/group/topic/251106524/,gwy必须有电脑吗,10-27,10回应
https://www.douban.com/group/topic/251027671/,通信工程的uu们在干嘛,10-27,5回应
https://www.douban.com/group/topic/251016220/,考公进面，985本科生和研究生，哪个更有竞争力,10-26,22回应
https://www.douban.com/group/topic/251003171/,我哥打电话给我,10-26,0回应
https://www.douban.com/group/topic/250971018/,有没有躺平待业考公群？😂😂😂,10-26,40回应
https://www.douban.com/group/topic/250893035/,考编失败,10-25,3回应
https://www.douban.com/group/topic/250821224/,刚刚完成考研报名，我应该是最晚的了,10-24,6回应
https://www.douban.com/group/topic/250758004/,秋招&考公打卡,10-24,6回应
https://www.douban.com/group/topic/250713557/,体感今年考公的应届生狠多🥲,10-23,18回应
https://www.douban.com/group/topic/250594699/,简历写不出半页纸,10-22,18回应
https://www.douban.com/group/topic/250568964/,明年毕业，没参与秋招，还在实习…..,10-22,2回应
https://www.douban.com/group/topic/250518987/,人太多 不值钱,10-21,0回应
https://www.douban.com/group/topic/250515705/,打算在职考公的话,10-21,3回应
https://www.douban.com/group/topic/250488935/,关于双减和教培,10-21,15回应
https://www.douban.com/group/topic/250484634/,研究生想退学，想问下如果研一下退的话还算21届应...,10-21,5回应
https://www.douban.com/group/topic/250384951/,大四文科five：继续考研or春招or考公？,10-20,9回应
https://www.douban.com/group/topic/250309213/,考公考家里小县城好吗,10-19,22回应
https://www.douban.com/group/topic/250308161/,准备申请22fall港硕，有uu可以推荐专业吗？,10-19,0回应
https://www.douban.com/group/topic/250295041/,新传人的职业走向,10-19,30回应
https://www.douban.com/group/topic/250290023/,考公问题真的让我非常焦虑,10-19,18回应
https://www.douban.com/group/topic/250283612/,统计专业考公,10-19,63回应
https://www.douban.com/group/topic/250245569/,觉得工作完全没有任何成就感,10-19,0回应
https://www.douban.com/group/topic/250242900/,秋招考公艰难之旅,10-18,5回应
https://www.douban.com/group/topic/250201786/,真的要考研吗,10-18,7回应
https://www.douban.com/group/topic/250200715/,同期校招生跑得只剩我一个,10-18,11回应
https://www.douban.com/group/topic/250189120/,有没有five还是196t的,10-18,6回应
https://www.douban.com/group/topic/250154595/,是从高校合同制跑路？还是苟着考公？,10-18,16回应
https://www.douban.com/group/topic/250145993/,同时准备考公和秋招好难有无UU也是这样的呀,10-17,22回应
https://www.douban.com/group/topic/250116123/,考公到底要复习多久呀,10-17,7回应
https://www.douban.com/group/topic/250113917/,想回三四线,10-17,12回应
https://www.douban.com/group/topic/250040817/,很久没有这么强的废物感了,10-16,52回应
https://www.douban.com/group/topic/249907949/,一个纯loser的经历（长期，不定时更新）,10-15,60回应
https://www.douban.com/group/topic/249903264/,小五们都打算考公考编吗,10-15,50回应
https://www.douban.com/group/topic/249903151/,大家秋招都怎么样了,10-15,28回应
https://www.douban.com/group/topic/249894832/,臆想时刻：如果能自由选择，各位希望进入互联网行...,10-15,14回应
https://www.douban.com/group/topic/249881573/,拿到offer影响考公吗？,10-15,9回应
https://www.douban.com/group/topic/249857484/,在秋招中被反复鞭打的痛苦,10-15,5回应
https://www.douban.com/group/topic/249857302/,数学白痴学商科的痛苦之路,10-15,9回应
https://www.douban.com/group/topic/249849396/,公共管理类专业明明学的政府管理，考公就没啥岗位,10-14,12回应
https://www.douban.com/group/topic/249846575/,。,10-14,24回应
https://www.douban.com/group/topic/249780596/,考公要报班吗？,10-14,16回应
https://www.douban.com/group/topic/249772118/,某211划水工科专业毕业，投身职教，何去何从？,10-14,4回应
https://www.douban.com/group/topic/249741593/,失去灵魂的five,10-13,4回应
https://www.douban.com/group/topic/249734113/,延毕可以考选调吗？,10-13,5回应
https://www.douban.com/group/topic/249618874/,有没有武汉的考公姐妹一起租房子的,10-12,3回应
https://www.douban.com/group/topic/249602453/,港硕考公这条路可行吗,10-12,40回应
https://www.douban.com/group/topic/249602445/,小镇做题家 越到毕业越焦虑,10-12,30回应
https://www.douban.com/group/topic/249528661/,考公or考研or就业,10-11,3回应
https://www.douban.com/group/topic/249520747/,本科毕业 纯文科除了考公考编和行政 还能干什么职...,10-11,31回应
https://www.douban.com/group/topic/249516289/,我该如何选择（迷茫）,10-11,3回应
https://www.douban.com/group/topic/249476430/,大家好 一些关于国考和选调的问题想咨询,10-11,26回应
https://www.douban.com/group/topic/249459912/,废物打算考公,10-11,3回应
https://www.douban.com/group/topic/249417610/,秋招人，找一个普通的工作，就已用尽了所有力气,10-10,34回应
https://www.douban.com/group/topic/249355557/,纯纯的冷门文科去企业求职真的好难😫,10-10,4回应
https://www.douban.com/group/topic/249342806/,five，又没有完全five｜就业篇：从教培行业到国企文职,10-10,0回应
https://www.douban.com/group/topic/249313991/,请问，大家的学院有没有一种叫做论文中期考核的东西。,10-09,17回应
https://www.douban.com/group/topic/249242341/,为什么我不敢呢？,10-09,13回应
https://www.douban.com/group/topic/249233303/,不知自己学了什么，从此所有有国旗升起的单位都没...,10-08,217回应
https://www.douban.com/group/topic/249220129/,我们一直努力，难道是为了未来能更加努力？,10-08,3回应
https://www.douban.com/group/topic/249214135/,看着全学校应届生都在准备公务员考试 我竟心生一股...,10-08,34回应
https://www.douban.com/group/topic/249192798/,来自奔四中年废物的碎碎念,10-08,32回应
https://www.douban.com/group/topic/249075383/,想问问关于考公面试的事情,10-07,12回应
https://www.douban.com/group/topic/249045595/,低年级的小5🉑搞个考公大户的双学位，考公有用的...,10-07,9回应
https://www.douban.com/group/topic/249045193/,请问大家了解街道挂职吗,10-07,0回应
https://www.douban.com/group/topic/248990977/,因为专业不知道被拒了多少次,10-06,30回应
https://www.douban.com/group/topic/248932784/,在家考公二战没有动力怎么办,10-05,1回应
https://www.douban.com/group/topic/248922793/,大家都这么焦虑的吗,10-05,2回应
https://www.douban.com/group/topic/248914315/,被寄予太高的厚望，然而自己真的没有能力,10-05,4回应
https://www.douban.com/group/topic/248902402/,真的讨厌这个全民考公考编的时代,10-05,68回应
https://www.douban.com/group/topic/248869963/,避不开的事业编/公务员,10-05,18回应
https://www.douban.com/group/topic/248826943/,选调生辞职...,10-04,79回应
https://www.douban.com/group/topic/248813653/,有没有读研农村发展的yy,10-04,1回应
https://www.douban.com/group/topic/248758871/,纯文科的能不能给自己多一条路走,10-04,23回应
https://www.douban.com/group/topic/248740138/,（更新）想建群的uu私信我一下吧。   之前说要建秋...,10-03,68回应
https://www.douban.com/group/topic/248728363/,舍友A好优秀，让我自惭形秽.默默仰望,10-03,6回应
https://www.douban.com/group/topic/248716325/,估计今年江苏名校优选报录比翻倍,10-03,15回应
https://www.douban.com/group/topic/248704837/,想要成为研究生，但一想到要学习考研知识就非常抵触。,10-03,2回应
https://www.douban.com/group/topic/248686187/,10月开始准备考研还是考公,10-03,32回应
https://www.douban.com/group/topic/248592885/,汉硕的归宿就只能是考公考编当老师了么…,10-02,18回应
https://www.douban.com/group/topic/248567575/,本废物决定回老家国企混日子了。,10-01,17回应
https://www.douban.com/group/topic/248541574/,小镇做题家从进入211就是痛苦的开始了吗📝记录,10-01,34回应
https://www.douban.com/group/topic/248457998/,毕业4年的银行废物何去何从,09-30,46回应
https://www.douban.com/group/topic/248454591/,考公真的不想学数量,09-30,50回应
https://www.douban.com/group/topic/248449854/,为了考公换专业可行吗？,09-30,6回应
https://www.douban.com/group/topic/248336660/,是不是还不如当初不努力，读个师范算了,09-29,114回应
https://www.douban.com/group/topic/248267685/,昨天在鬼门关走了一趟，再无焦虑。希望大家都可以...,09-28,24回应
https://www.douban.com/group/topic/248266634/,准备考公的人研二做什么,09-28,5回应
https://www.douban.com/group/topic/248256897/,冷门文科大三five求助未来规划,09-28,2回应
https://www.douban.com/group/topic/248238930/,教师岗位内卷,09-28,3回应
https://www.douban.com/group/topic/248145655/,有没有广州的校招选手一起逛双选会或者宣讲会的,09-27,13回应
https://www.douban.com/group/topic/248122163/,考公党有必要在秋招拿个offer保底吗？,09-27,30回应
https://www.douban.com/group/topic/248078852/,好难受，几个月前对自己认知不够，选错了方向，现...,09-26,15回应
https://www.douban.com/group/topic/248032739/,这算违约吗？有保研资格却没学校愿意收的话,09-26,18回应
https://www.douban.com/group/topic/247978900/,秋招中0offer,09-25,32回应
https://www.douban.com/group/topic/247935233/,22届艰难走在毕业&转行路上,09-25,3回应
https://www.douban.com/group/topic/247895275/,有没有友友可以一起雅思互相监督学习的,09-24,25回应
https://www.douban.com/group/topic/247710728/,投稿文章被拒,09-23,3回应
https://www.douban.com/group/topic/247597877/,有没有uu感觉越来越提不起精神,09-22,6回应
https://www.douban.com/group/topic/247512497/,five真的很容易因为一句话崩溃…,09-21,3回应
https://www.douban.com/group/topic/247330428/,刚被我爸打电话说我没有毅力 不求上进 破防了😭,09-18,16回应
https://www.douban.com/group/topic/247313159/,现在高校辅导员如何了,09-18,6回应
https://www.douban.com/group/topic/247312287/,想知道大家怎么平衡考公、秋招和论文,09-18,45回应
https://www.douban.com/group/topic/247254087/,大家都是抱团考公的吗,09-18,12回应
https://www.douban.com/group/topic/247247242/,考研or考公？求个性化定制指路,09-18,5回应
https://www.douban.com/group/topic/247202451/,本人在沪某五院四系学硕研一，请问研究生期间有无...,09-17,16回应
https://www.douban.com/group/topic/247167727/,准备考研到想放弃的我报名了支教保研,09-17,16回应
https://www.douban.com/group/topic/247136427/,作为应届生，我还在投实习🚬,09-17,29回应
https://www.douban.com/group/topic/247050680/,有点好奇连本组的985211都找不到工作or得不到满意...,09-16,41回应
https://www.douban.com/group/topic/247018507/,如何排遣总觉得 学不完/来不及/考不上的情绪🚬...,09-15,12回应
https://www.douban.com/group/topic/246965379/,学农的出路究竟在哪,09-15,15回应
https://www.douban.com/group/topic/246922194/,保研听老师话留本校天坑专业还是冲击外校跨保,09-14,0回应
https://www.douban.com/group/topic/246919498/,废物适合读研吗？或者读不下去时半途跑路可以吗,09-14,0回应
https://www.douban.com/group/topic/246915640/,为了保研来了天坑专业，今年推免政策修改保不上了,09-14,10回应
https://www.douban.com/group/topic/246852603/,工作两年后去考研 怎么选择专业？,09-14,22回应
https://www.douban.com/group/topic/246819992/,准备申22海外一年硕 现在的时间做什么比较好呢？,09-14,11回应
https://www.douban.com/group/topic/246795305/,21届申请失败后  出国？就业？考研？好像哪条路都...,09-13,22回应
https://www.douban.com/group/topic/246791626/,非法本法硕就业：考公与秋招,09-13,5回应
https://www.douban.com/group/topic/246778132/,放弃考研,09-13,34回应
https://www.douban.com/group/topic/246776796/,请问打算进体制躺平的新传er是否应该考研,09-13,39回应
https://www.douban.com/group/topic/246715870/,厄运连锁反应，一步错， 步步错？在人生的十字路口...,09-13,22回应
https://www.douban.com/group/topic/246561035/,在控制里长大丧失了独立思考能力的five,09-12,1回应
https://www.douban.com/group/topic/245770007/,南大毕业5年，要不要回老家,09-08,50回应
https://www.douban.com/group/topic/245220802/,985社科大四fw，专心考公还是边异地求职？,09-06,2回应
https://www.douban.com/group/topic/245210662/,后悔当年没考选调,09-06,16回应
https://www.douban.com/group/topic/245205635/,拖延症错过报名教资谁懂🚬🚬,09-06,1回应
https://www.douban.com/group/topic/245040682/,用“关你屁事”可以有效回怼以下言论,09-05,3回应
